Transaction Hash,Status,Type,Method ,Block,Age,From,From_NameTag,To,To_NameTag,Amount,Value (USD),Asset,Txn Fee,
0xaa77c1e4f8411e9c6b58201f9390755ff431826eab768652be4e1b68a0f9a003,Success,ERC-20,Transfer,Transfer,22553458,11 days ago,0x719D1fFbc61Be833513348523fbC63694ee2d790, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"28,500","$1,467.95",Ultra Token(UOS),0.0000735
0xd9f9d8fb518de2e584f4cc69f38df5c2913610471d447dc4009544005774fb1d,Success,ERC-20,Transfer,Transfer,22553454,11 days ago,0xE6B419974aba34bdB71F47789f67a4D91CE2fFA4, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"9,374.64",$482.86,Ultra Token(UOS),0.00007596
0x938d34d2b2fe80145733d99cd9e8ed0bbbd5fa908c365257acf5ab16d6e40257,Success,ERC-20,Transfer,Transfer,22552280,12 days ago,0xe85d3aD87c5072f5fDCDaa27a35c7CcD6Cb3a2C3, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"11,596.70",$597.31,Ultra Token(UOS),0.00006092
0xa8418453d16302033f1c6b9d3ca1302c823d76dfcdc54b258d1c87702ca85b63,Success,ERC-20,Transfer,Transfer,22551100,12 days ago,0x628758f7a97eba5d83f21a4f11e2550976007706, Bithumb Routing Wallet #3,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"40,295.80","$2,075.52",Ultra Token(UOS),0.0000469
0x54a7326ad6130d3734a2d292b5955f82f75205e82ce2e81074d790246b856e52,Success,ERC-20,Transfer,Transfer,22551096,12 days ago,0xb4669b10d923c2d141f2eccf382bbe06ceedf82b, Bithumb Treasury Routing Wallet,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"1,052,110.13","$54,191.04",Ultra Token(UOS),0.00004712
0xa09447f83d3cbeddbb2fe5b592f56adc24f2aee5277d89bc3a6ab6a83f6aadbe,Success,ERC-20,Transfer,Transfer,22551085,12 days ago,0x0BD49B44bD9A4Db9cB25b5564661Fa1032fF1290, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"53,497.35","$2,755.49",Ultra Token(UOS),0.00004573
0x63698a7f13889bf28319717d08fe982709399f4ac3b3963a1c9ca743e7fd16d2,Success,ERC-20,Transfer,Transfer,22549910,12 days ago,0x0BD49B44bD9A4Db9cB25b5564661Fa1032fF1290, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"113,668.08","$5,854.70",Ultra Token(UOS),0.00004658
0x69a14a27e20830fa2abf304516629abfd622da4daacb130eca7d41eb417f6157,Success,ERC-20,Transfer,Transfer,22549894,12 days ago,0x4F6795ce2Cd1CDB10d39602D8299a2e6375536e3, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"76,264.19","$3,928.14",Ultra Token(UOS),0.00004794
0x4c7c589da00ec13893725cb9487aff0ba32b4460624864e66d62e8534701839d,Success,ERC-20,Transfer,Transfer,22548719,12 days ago,0xFCf4d66E2f827a364bf128BA102FbcEc237d8003, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"41,967","$2,161.59",Ultra Token(UOS),0.00006461
0x6aa9338846af7d880539f83163ff1ab346b8ec427956ad5d697057b072398447,Success,ERC-20,Transfer,Transfer,22548717,12 days ago,0x4F6795ce2Cd1CDB10d39602D8299a2e6375536e3, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"89,954.19","$4,633.27",Ultra Token(UOS),0.0000635
